[ PSN ]

tEPS_Z
sigma_x[57] = -3.618516e+04		sigma_y[57] = 7.221883e+05		tau[57] = -5.231199e+77
sigma_x[58] = -1.145855e+05		sigma_y[58] = 1.041993e+05		tau[58] = -5.231199e+77
sigma_x[59] = -3.449533e+04		sigma_y[59] = 7.233572e+05		tau[59] = -5.231199e+77
sigma_x[60] = -1.136572e+05		sigma_y[60] = 1.031804e+05		tau[60] = -5.231199e+77
sigma_x[61] = -3.641417e+04		sigma_y[61] = 7.185046e+05		tau[61] = -5.231199e+77
sigma_x[62] = -1.150456e+05		sigma_y[62] = 1.034491e+05		tau[62] = -5.231199e+77
sigma_x[63] = -3.548962e+04		sigma_y[63] = 7.174796e+05		tau[63] = -5.231199e+77
sigma_x[64] = -3.192735e+03		sigma_y[64] = -8.434333e+05		tau[64] = -5.231199e+77
sigma_x[65] = 1.268839e+05		sigma_y[65] = -7.729330e+04		tau[65] = -5.231199e+77
sigma_x[66] = 4.835695e+04		sigma_y[66] = -1.158883e+06		tau[66] = -5.231199e+77
sigma_x[67] = -1.242458e+05		sigma_y[67] = 7.886930e+04		tau[67] = -5.231199e+77
sigma_x[68] = -1.484559e+04		sigma_y[68] = 7.155204e+05		tau[68] = -5.231199e+77
sigma_x[69] = 2.135560e+03		sigma_y[69] = 7.231490e+05		tau[69] = -5.231199e+77
sigma_x[70] = -9.315656e+04		sigma_y[70] = -9.779733e+05		tau[70] = -5.231199e+77
sigma_x[71] = -1.070626e+05		sigma_y[71] = 2.760732e+05		tau[71] = -5.231199e+77
sigma_x[72] = -1.352734e+03		sigma_y[72] = 7.264797e+05		tau[72] = -5.231199e+77
sigma_x[73] = -1.198694e+05		sigma_y[73] = 1.055286e+05		tau[73] = -5.231199e+77
sigma_x[74] = -2.008936e+04		sigma_y[74] = 7.156284e+05		tau[74] = -5.231199e+77
sigma_x[75] = -1.176526e+05		sigma_y[75] = 1.043792e+05		tau[75] = -5.231199e+77
sigma_x[76] = -2.701604e+04		sigma_y[76] = 7.129025e+05		tau[76] = -5.231199e+77
sigma_x[77] = -1.181017e+05		sigma_y[77] = 1.435236e+05		tau[77] = -5.231199e+77
sigma_x[78] = -1.868593e+04		sigma_y[78] = 7.212539e+05		tau[78] = -5.231199e+77
sigma_x[79] = -1.173020e+05		sigma_y[79] = 1.158791e+05		tau[79] = -5.231199e+77
sigma_x[80] = -2.652117e+04		sigma_y[80] = 7.171928e+05		tau[80] = -5.231199e+77
sigma_x[81] = -1.576587e+04		sigma_y[81] = 8.164706e+05		tau[81] = -5.231199e+77
sigma_x[82] = -2.536082e+04		sigma_y[82] = -9.518200e+05		tau[82] = -5.231199e+77
sigma_x[83] = -1.320247e+05		sigma_y[83] = 2.296686e+05		tau[83] = -5.231199e+77
sigma_x[84] = -1.748044e+04		sigma_y[84] = 7.508300e+05		tau[84] = -5.231199e+77
sigma_x[85] = -3.498739e+03		sigma_y[85] = 9.034969e+05		tau[85] = -5.231199e+77
sigma_x[86] = 2.159662e+04		sigma_y[86] = -8.199924e+05		tau[86] = -5.231199e+77
